E,Events/Mev
0.8657001272349835, 1186.9266055045882
1.116364204558138, 7293.577981651375
1.3672738230764088, 12769.495412844037
1.6084399205339408, 18274.082568807342
1.8595392754302558, 23262.61467889908
2.0912743588026523, 27993.119266055044
2.3477644590281037, 31634.174311926603
2.6004040268756006, 32666.284403669724
2.8630996227594374, 32866.97247706422
3.1065425567535, 32522.935779816515
3.3551864996986542, 31318.80733944954
3.5947342574611043, 28480.504587155963
3.848981004040269, 25384.174311926603
4.107602848277864, 23549.311926605504
4.351793566820688, 21284.403669724772
4.634913725752807, 19019.495412844037
4.869550659612937, 16295.871559633026
5.113674412375277, 14202.981651376147
5.37746378267372, 11594.036697247702
5.621754949887274, 9071.100917431188
5.865834058795955, 7092.889908256879
6.124433581106721, 5315.366972477066
6.3731891336860205, 3824.5412844036728
6.617011540436171, 2505.7339449541323
6.875220429027431, 1731.651376146794
7.11878613361905, 1072.247706422022
7.3574856581620125, 412.84403669725
