E, N
0.8495486459378134, 0.09410854064402296
1.1203610832497493, 0.36482939244833124
1.3731193580742227, 0.67091406768169
1.6198595787362084, 0.9534405868562976
1.8726178535606819, 1.2536342458893617
2.1253761283851555, 1.4978632510196273
2.3781344032096285, 1.6419449807448854
2.624874623871615, 1.7330134734099203
2.8776328986960884, 1.8211305492323804
3.124373119358074, 1.7767056692906407
3.37111334002006, 1.6026784329424206
3.623871614844534, 1.5405745956573695
3.876629889669007, 1.4814162664724657
4.123370110330993, 1.3280075868252768
4.376128385155466, 1.180484014635955
4.622868605817453, 1.0771489726912695
4.875626880641925, 0.9414074329025366
5.122367101303912, 0.8056718018562312
5.375125376128385, 0.7052763592692655
5.6278836509528585, 0.5636438032802382
5.880641925777332, 0.40433819869032694
6.1273821464393174, 0.34813128634799795
6.374122367101304, 0.21534116340184006
6.62086258776329, 0.16207975915965855
6.873620862587763, 0.08524838137387092
7.499498495486459, 0.0286692182586048
