E,N_nu
0.7928692699490665, 6.009688627278422
1.1137521222410869, 16.85758880203901
1.3633276740237692, 24.62654783500276
1.6179966044142615, 32.98217940149688
1.8777589134125638, 38.5015006164358
2.1171477079796266, 44.2169189833168
2.3718166383701185, 45.33538673562999
2.6264855687606117, 46.209355710437066
2.870967741935484, 46.20337815119074
3.130730050933786, 43.75203921943039
3.375212224108659, 42.0834699731425
3.6298811544991514, 38.80095973034567
3.8743633276740237, 32.58471322244408
4.129032258064516, 30.182398578669247
4.378607809847199, 27.486809934371383
4.633276740237691, 22.981805804043987
4.882852292020374, 20.188417648743673
5.132427843803056, 15.976936583907914
5.376910016977929, 13.085873450089451
5.611205432937181, 10.390658403244487
5.8658743633276735, 7.401546693454989
6.492359932088285, 3.6698477797933577
