N_nu,E
611.4180478821363, 0.898989898989899
1119.7053406998157, 1.1010101010101008
1226.5193370165744, 1.303030303030303
1464.088397790055, 1.5014430014430014
1777.1639042357274, 1.6998556998556995
1729.2817679558011, 1.8982683982683977
1860.036832412523, 2.1002886002886
1965.0092081031307, 2.2987012987012987
1944.7513812154693, 2.5007215007215002
1860.036832412523, 2.699134199134199
1666.6666666666665, 2.897546897546897
1618.7845303867402, 3.0995670995670994
1497.2375690607735, 3.2979797979797976
1519.3370165745855, 3.4999999999999996
1429.0976058931858, 3.702020202020201
1318.6003683241252, 3.9004329004328997
1359.1160220994475, 4.596681096681097
1057.0902394106813, 4.098845598845598
1038.6740331491712, 4.297258297258296
911.6022099447512, 4.4992784992785
841.6206261510129, 4.6976911976911975
622.4677716390422, 4.896103896103895
639.0423572744014, 5.098124098124098
506.44567219152873, 5.296536796536795
441.98895027624303, 5.498556998556998
270.71823204419866, 5.6969696969696955
230.20257826887678, 5.898989898989898
208.10313075506429, 6.097402597402596
189.68692449355444, 6.295815295815295
167.58747697974218, 6.497835497835496
33.14917127071794, 6.696248196248195
14.732965009207874, 6.898268398268398
